difficulty,ID,year,type,day,name,type,option,JP-ja
12,JOI19_minerals,2019,JOIsp,Day4-3,Minerals,Interactive,,https://www.ioi-jp.org/camp/2019/2019-sp-tasks/day4/minerals.pdf
9,JOI20_building4,2020,JOIsp,Day1-1,Building 4,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day1/building4.pdf
12,JOI20_hamburg,2020,JOIsp,Day1-2,Hamburg Steak,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day1/hamburg.pdf
12,JOI20_sweeping,2020,JOIsp,Day1-3,Sweeping,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day1/sweeping.pdf
12,JOI20_chameleon,2020,JOIsp,Day2-1,Chameleon's Love,Interactive,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day2/chameleon.pdf
11,JOI20_joitter2,2020,JOIsp,Day2-2,Making Friends on Joitter is Fun,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day2/joitter2.pdf
12,JOI20_ruins3,2020,JOIsp,Day2-3,Ruins 3,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day2/ruins3.pdf
12,JOI20_constellation3,2020,JOIsp,Day3-1,Constellation 3,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day3/constellation3.pdf
11,JOI20_harvest,2020,JOIsp,Day3-2,Harvest,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day3/harvest3.pdf
11,JOI20_stray,2020,JOIsp,Day3-3,Stray Cat,Interactive,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day3/stray.pdf
11,JOI20_capital_city,2020,JOIsp,Day4-1,Capital City,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day4/capital_city.pdf
11,JOI20_dango2,2020,JOIsp,Day4-2,Legendary Dango Maker,Output Only,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day4/dango2.pdf
11,JOI20_treatment,2020,JOIsp,Day4-3,Treatment Project,Batch,,https://www.ioi-jp.org/camp/2020/2020-sp-tasks/day4/treatment.pdf
13,JOI21_aerobatics,2021,JOIsp,Day1-1,Aerobatics,Output Only,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day1/aerobatics.pdf
11,JOI21_fever,2021,JOIsp,Day1-2,IOI Fever,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day1/fever.pdf
11,JOI21_foodcourt,2021,JOIsp,Day1-3,Food Court,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day1/foodcourt.pdf
11,JOI21_escape_route,2021,JOIsp,Day2-1,Escape Route,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day2/escape_route.pdf
10,JOI21_road_construction,2021,JOIsp,Day2-2,Road Construction,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day2/road_construction.pdf
13,JOI21_shopping,2021,JOIsp,Day2-3,Shopping,Communication,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day2/shopping.pdf
11,JOI21_ancient_machine,2021,JOIsp,Day3-1,Ancient Machine,Interactive,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day3/ancient_machine.pdf
11,JOI21_bodyguard,2021,JOIsp,Day3-2,Bodyguard,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day3/bodyguard.pdf
11,JOI21_meetings2,2021,JOIsp,Day3-3,Meetings 2,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day3/meetings2.pdf
10,JOI21_event2,2021,JOIsp,Day4-1,Event Hopping 2,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day4/event2.pdf
12,JOI21_navigation2,2021,JOIsp,Day4-2,Navigation 2,Communication,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day4/navigation2.pdf
11,JOI21_worst_reporter4,2021,JOIsp,Day4-3,Worst Reporter 4,Batch,,https://www.ioi-jp.org/camp/2021/2021-sp-tasks/day4/worst_reporter4.pdf
,JOI13_dispartiy,2013,JOIop,1,Vote-Value Disparity,Batch, <span class=unavailable>Unavailable</span>,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2013/disparity-ja.pdf
,JOI13_synchronization,2013,JOIop,2,Synchronization,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2013/synchronization-ja.pdf
,JOI13_watching,2013,JOIop,3,Watching,Batch,,http://s3-ap-northeast-1.amazonaws.com/data.cms.ioi-jp.org/open-2013/watching-ja.pdf
